fire_year,stat_cause_descr,fire_size,fire_size_class,latitude,longitude,owner_code,state,burn_time_hours,discovery_hour,discovery_month
2013,Arson,0.25,A,42.43416667,-123.6144444,13,OR,3,12,Jul
2011,Missing/Undefined,0.1,A,35.30515,-78.54453333,14,NC,0.9,13,Jun
2000,Campfire,0.1,A,34.24416667,-117.515,5,CA,0.483333333,11,Mar
2005,Miscellaneous,2,B,30.581607,-88.21647,14,AL,1.083333333,17,Feb
2014,Lightning,0.1,A,40.6009,-73.9318,14,NY,744.4666667,18,Apr
2003,Campfire,0.1,A,47.3222,-113.9826,2,MT,0.216666667,14,Jul
1996,Debris Burning,158,D,43.3832,-111.7175,8,ID,22.5,15,May
2000,Children,0.1,A,43.3206,-101.0299,2,SD,2,10,Mar
2014,Lightning,1,B,48.26097,-118.84029,9,WA,5.183333333,14,Jul
2006,Lightning,1,B,44.62583333,-122.3102778,5,OR,68.5,20,Jul
2010,Miscellaneous,3.7,B,36.4205556,-103.151111,5,NM,2.75,14,Aug
1997,Arson,4,B,31.17594427,-90.41452767,14,MS,1.05,13,Sep
1992,Miscellaneous,40,C,45.425,-116.125,5,ID,10.98333333,20,Aug
2005,Lightning,3.5,B,45.5072,-101.3718,2,SD,1.5,19,Aug
2012,Miscellaneous,0.25,A,39.1201616,-74.8451915,8,NJ,0.666666667,14,Mar
2001,Debris Burning,1.43,B,31.6701,-84.0759,8,GA,0,14,Jan
1999,Miscellaneous,0.5,B,40.251511,-122.208581,8,CA,0.316666667,14,Sep
1997,Arson,12,C,32.68957668,-89.82434946,14,MS,1.333333333,17,Mar
2006,Miscellaneous,8,B,34.39638889,-111.6563889,5,AZ,23.33333333,15,May
1993,Lightning,0.1,A,34.305,-111.47,5,AZ,0.516666667,8,Aug
2009,Lightning,0.5,B,34.065,-110.8113889,5,AZ,0.566666667,11,Sep
2011,Arson,2,B,33.600273,-79.51368,8,SC,1.45,20,Feb
1999,Lightning,0.1,A,43.79833333,-103.88,5,SD,0.833333333,17,Sep
2013,Debris Burning,1,B,36.332,-88.727967,8,TN,0.833333333,15,Jun
1998,Lightning,0.1,A,48.0607,-118.2711,2,WA,7.483333333,10,Jul
1996,Missing/Undefined,0.01,A,48.07004,-115.02389,14,MT,69.83333333,17,Sep
2013,Lightning,0.1,A,46.81916667,-114.2513889,5,MT,2.766666667,10,Aug
2003,Miscellaneous,2,B,43.1883,-100.8985,2,SD,2,11,Dec
1995,Arson,4.79,B,31.4639,-82.4376,8,GA,1,14,Dec
2014,Miscellaneous,0.5,B,41.42435,-99.6878,14,NE,0.6,16,Oct
2005,Miscellaneous,0.1,A,43.02647367,-77.95825451,14,NY,0,15,Aug
2014,Powerline,0.1,A,46.38104,-120.73304,2,WA,1.383333333,9,May
1996,Arson,1,B,31.19333333,-89.14833333,5,MS,17.88333333,15,May
2008,Miscellaneous,0.1,A,40.74534055,-73.9056628,14,NY,0,17,Jul
2008,Equipment Use,0.1,A,41.37805556,-88.12694444,5,IL,0.483333333,14,Jul
2002,Debris Burning,3,B,37.253,-83.365,14,KY,0,15,Mar
1998,Arson,8,B,30.9929596,-89.47762551,14,MS,1.683333333,22,Mar
2001,Miscellaneous,2.5,B,40.83249966,-73.30717724,14,NY,0,17,Sep
2005,Lightning,0.1,A,36.20972222,-118.4033333,5,CA,0.5,16,Aug
2007,Equipment Use,0.1,A,47.02305556,-94.66305556,5,MN,1.25,15,Apr
2004,Debris Burning,200,D,46.2765,-120.1742,2,WA,7,14,Apr
2001,Campfire,0.2,A,48.63333333,-115.1,5,MT,2.75,10,Oct
2006,Miscellaneous,1,B,47.988,-102.2633,8,ND,0.75,17,Jul
2013,Equipment Use,15,C,40.285567,-123.812267,14,CA,0.983333333,17,Aug
2003,Arson,0.1,A,42.82046398,-73.90134905,14,NY,0,12,Jun
2002,Debris Burning,11.22,C,30.9503,-84.5338,8,GA,0,17,May
2000,Children,10,C,37.878989,-120.4594,8,CA,0.516666667,16,Sep
2011,Arson,134,D,35.7381,-94.5483,2,OK,6,13,Mar
2011,Missing/Undefined,15.3,C,34.63983333,-78.18833333,14,NC,11.66666667,10,Jul
2013,Debris Burning,10,C,37.69665146,-83.01933289,8,KY,3,16,Apr
2012,Equipment Use,5,B,33.17788333,-95.94205,14,TX,5.416666667,15,Aug
2015,Campfire,1,B,31.11026245,-89.52457438,8,MS,1.316666667,14,Feb
2008,Arson,0.5,B,31.179475,-87.556617,14,AL,1.816666667,20,Jul
2003,Arson,72,C,30.64099,-87.55655,14,AL,5.283333333,14,Feb
2015,Equipment Use,1.2,B,41.7311,-73.6741,14,NY,0.95,15,Nov
1996,Equipment Use,4,B,32.98030366,-110.4657593,14,AZ,9.45,14,Jun
2000,Children,1,B,39.3713757,-77.80507089,8,WV,0,11,Jan
1999,Debris Burning,3,B,33.94334175,-89.4103824,14,MS,2.316666667,14,Aug
2009,Lightning,0.1,A,48.63888889,-115.0025,5,MT,9.833333333,11,Jul
2002,Smoking,0.1,A,45.95833333,-121.6875,5,WA,1,13,Oct
1993,Lightning,0.5,B,33.5,-111.355,5,AZ,44,16,Aug
2013,Miscellaneous,0.5,B,36.12835,-79.68831667,8,NC,2.583333333,16,Apr
2004,Equipment Use,0.1,A,39.806769,-121.607969,8,CA,0.033333333,20,Sep
2009,Arson,4.5,B,35.342833,-85.71095,8,TN,2.583333333,11,Mar
2004,Debris Burning,5,B,42.2277,-104.545,8,WY,1.25,13,May
1995,Debris Burning,15,C,34.34863908,-89.79442778,14,MS,1,16,Dec
1994,Campfire,0.1,A,46.30333333,-117.6533333,13,WA,0.266666667,13,Jun
2009,Arson,0.1,A,42.2326737,-78.40769389,14,NY,0,13,Mar
2006,Lightning,0.3,B,34.9978,-107.9533,7,NM,24.5,17,Jun
2004,Miscellaneous,0.5,B,44.26972222,-123.7308333,5,OR,20.5,15,Aug
1997,Debris Burning,0.38,B,31.9613,-83.532,8,GA,0.75,14,Mar
2003,Lightning,0.1,A,38.38,-108.2325,5,CO,3.5,14,Aug
2005,Miscellaneous,0.1,A,42.55515788,-78.75565675,14,NY,0,20,May
2011,Arson,0.52,B,32.34295575,-83.26218374,8,GA,0.75,13,Jan
1994,Children,7,B,43.0764,-102.7963,2,SD,9,8,Apr
2015,Debris Burning,0.75,B,37.49,-97.2,14,KS,0.45,19,Mar
2012,Debris Burning,0.02,A,30.89355618,-84.26956509,8,GA,0.75,10,Mar
2007,Debris Burning,30,C,37.45228,-82.72153,14,KY,24,15,Oct
2010,Arson,0.1,A,34.85583333,-79.77733333,8,NC,0.783333333,14,Dec
1994,Smoking,0.88,B,34.0866,-82.9164,8,GA,0.833333333,17,Apr
1999,Arson,5,B,31.1123097,-90.22392689,14,MS,0.966666667,17,Mar
2010,Miscellaneous,0.6,B,34.0069444,-109.481389,5,AZ,24.58333333,10,May
1994,Lightning,0.1,A,36.6333,-113.5369,1,AZ,24.06666667,17,Jul
2001,Debris Burning,2.36,B,34.224,-83.7028,8,GA,0,14,Nov
1997,Miscellaneous,2,B,31.16666667,-89.09,5,MS,19.63333333,12,Mar
2002,Lightning,0.1,A,40.363,-108.5323,1,CO,27.8,17,Aug
1997,Debris Burning,0.5,B,47.8833,-94.9169,2,MN,0.216666667,16,Apr
2004,Miscellaneous,0.1,A,38.118979,-122.460868,6,CA,0,12,Apr
2008,Debris Burning,1,B,36.85862,-83.49005,14,KY,0,19,Oct
2008,Miscellaneous,0.1,A,40.73936504,-73.17899999,14,NY,0,16,Nov
1995,Lightning,0.1,A,45.01833333,-118.7483333,5,OR,2.5,11,Sep
2011,Debris Burning,0.1,A,32.71370671,-82.54542531,8,GA,0.95,20,Mar
1993,Debris Burning,1.38,B,33.6929,-84.6098,8,GA,5.4,12,Jul
2006,Arson,1,B,32.899384,-87.895547,14,AL,2.166666667,12,Sep
2002,Lightning,12.6,C,31.4295,-81.8965,8,GA,0,15,May
1996,Equipment Use,100,D,34.3012026,-89.95509926,14,MS,3.5,12,Feb
2010,Miscellaneous,0.1,A,40.8566667,-123.572222,13,CA,4.866666667,7,Dec
2000,Equipment Use,1,B,40.9813,-117.7429,1,NV,3.533333333,14,Jun
1998,Miscellaneous,0.3,B,31.48333333,-93.12,5,LA,0.166666667,22,Jun
1996,Debris Burning,0.01,A,45.70832846,-89.62360538,14,WI,0.533333333,13,May
2009,Arson,10,C,31.13638889,-92.61333333,5,LA,3.483333333,9,Jun
1999,Debris Burning,1,B,47.2666,-95.6336,2,MN,2.5,17,May
2001,Smoking,1,B,42.85232801,-73.77155806,14,NY,0,16,Sep
2003,Lightning,0.1,A,39.16916667,-120.2686111,5,CA,54.75,16,Aug
2004,Arson,0.1,A,38.3305,-120.5508,1,CA,0.283333333,15,Jul
2009,Arson,8,B,36.10666667,-95.18821667,8,OK,0,12,Mar
2015,Miscellaneous,0.01,A,37.48,-97.33,14,KS,0.3,15,Aug
1993,Arson,4.9,B,33.4354,-83.3383,8,GA,1.633333333,14,Jul
2004,Railroad,0.1,A,42.40972222,-121.8341667,5,OR,0.483333333,14,Jul
2001,Campfire,0.5,B,37.2333,-108.784,2,CO,0.383333333,13,Jun
1996,Arson,0.1,A,30.51833333,-89.1,13,MS,14.16666667,18,Feb
2006,Lightning,0.1,A,38.8192,-114.5928,1,NV,2.8,12,Jul
1994,Miscellaneous,1,B,37.7166,-114.4508,1,NV,2.9,23,Jun
2015,Miscellaneous,0.25,A,41.062,-74.2684,12,NJ,20.96666667,15,Apr
1999,Arson,6,B,30.82442059,-89.00132278,14,MS,0.8,14,Mar
1997,Debris Burning,0.28,B,33.0243,-84.382,8,GA,1.166666667,14,Mar
2008,Miscellaneous,1.29,B,43.23984452,-77.65774168,14,NY,0,14,Apr
2013,Debris Burning,1.5,B,36.63237,-85.78703308,8,KY,1.666666667,14,Feb
1993,Lightning,0.1,A,34.215,-118.09,5,CA,2,11,May
2008,Miscellaneous,0.1,A,40.77591476,-73.05164757,14,NY,0,16,Mar
2015,Arson,8,B,37.78,-98.02,14,KS,0.8,14,Apr
2005,Debris Burning,2,B,35.09,-86.8,8,TN,5.25,13,Nov
2006,Arson,105,D,33.807285,-85.437635,14,AL,4.85,14,Mar
2000,Arson,0.3,B,45.9708,-89.8868,2,WI,0.383333333,19,Apr
2014,Debris Burning,3,B,39.8815921,-89.5412459,14,IL,1.3,16,Mar
2008,Debris Burning,275,D,38.38472222,-76.03805556,4,MD,2.5,12,Feb
2013,Debris Burning,3.3,B,32.82158333,-82.62969444,8,GA,1.533333333,19,Mar
2001,Arson,1.73,B,33.4007,-82.0714,8,GA,0,16,Mar
2010,Miscellaneous,1,B,36.526,-78.3535,8,NC,2,19,Jul
2004,Arson,166,D,34.2815,-95.5269,2,OK,4.45,16,Apr
2010,Campfire,0.1,A,29.6423,-81.6775,8,FL,0,16,Dec
2003,Lightning,0.1,A,38.195,-108.0744444,5,CO,2.833333333,13,Jul
2015,Miscellaneous,0.1,A,45.24361,-118.08861,8,OR,6,13,Jul
1999,Lightning,0.5,B,39.0444,-108.9701,1,CO,21.51666667,15,Sep
2002,Smoking,2.5,B,43.36599243,-78.0258562,14,NY,0,12,Nov
1993,Arson,200,D,31.07803318,-89.70581506,14,MS,3.85,14,Feb
1996,Lightning,0.7,B,47.81166667,-116.6,5,ID,53.5,15,Aug
2009,Miscellaneous,0.8,B,43.66750307,-76.01630068,14,NY,0,11,May
2015,Campfire,0.8,B,42.6664,-122.9028,8,OR,4.833333333,12,May
1994,Lightning,0.1,A,35.18666667,-111.7283333,5,AZ,1.1,14,Aug
1994,Lightning,0.1,A,44.75,-118.6916667,5,OR,2.5,19,Jul
1997,Debris Burning,1.56,B,34.653,-85.0925,8,GA,1,12,May
2009,Miscellaneous,0.25,A,34.33583333,-117.5197222,5,CA,0.333333333,21,Aug
2004,Arson,0.1,A,42.96915637,-77.36520608,14,NY,0,18,Oct
2012,Missing/Undefined,0.1,A,44.7708,-122.5644,8,OR,1.016666667,9,Aug
