objectid,fod_id,fpa_id,source_system_type,source_system,nwcg_reporting_agency,nwcg_reporting_unit_id,nwcg_reporting_unit_name,source_reporting_unit,source_reporting_unit_name,local_fire_report_id,local_incident_id,fire_code,fire_name,ics_209_incident_number,ics_209_name,mtbs_id,mtbs_fire_name,complex_name,fire_year,discovery_date,discovery_doy,discovery_time,stat_cause_descr,cont_date,cont_doy,cont_time,fire_size,fire_size_class,latitude,longitude,owner_code,owner_descr,state,county,fips_code,fips_name,year,month,doy,fire_size_log
663924,726201,SFO-VA0266-RKH005620,NONFED,ST-NASF,ST/C&L,USVAVAS,Virginia Department of Forestry,VAVAS,Virginia Department of Forestry,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,8689-03-07,30,NA,Arson,NA,NA,NA,0.1,A,38.41333,-78.66389,14,MISSING/NOT SPECIFIED,VA,Rockingham,165,Rockingham,8689,Mar,66,0.09531017980432487
174134,176124,W-390172,FED,DOI-WFMI,BIA,USOKTLA,Talihina Agency,OKTLA,Talihina Agency,338,NA,NA,NA,NA,NA,NA,NA,NA,1994,8676-04-16,70,2240,Arson,2449422.5,70,2247,0.5,B,34.5168,-94.9002,6,OTHER FEDERAL,OK,NA,NA,NA,8676,Apr,107,0.4054651081081644
1314228,1792980,SFO-WV-2005-23300,NONFED,ST-NASF,ST/C&L,USWVWVS,West Virginia Division of Forestry,WVDOF,West Virginia Division of Forestry,NA,2005-23300,NA,JENNIES CREEK NEW FOUR LANE,NA,NA,NA,NA,NA,2005,8687-03-31,53,1330,Arson,2453423.5,53,1330,1,B,37.89819477,-82.42636312,7,STATE,WV,Wayne,099,Wayne,8687,Mar,90,0.6931471805599453
819558,926748,STATE_MS_66778,NONFED,ST-MSMSS,ST/C&L,USMSMSS,Mississippi Forestry Commission,MS Southeast,MSS Southeast District,NA,7-4563,NA,NA,NA,NA,NA,NA,NA,2006,8688-05-21,105,NA,Arson,NA,NA,NA,8,B,31.3478,-89.0431,14,MISSING/NOT SPECIFIED,MS,NA,NA,NA,8688,May,142,2.1972245773362196
906825,1033890,SWRA_SC_47519,NONFED,ST-SCSCS,ST/C&L,USSCSCS,South Carolina Forestry Commission,SCSCS1,SCS Unit 1,NA,4479,NA,NA,NA,NA,NA,NA,NA,1998,8680-11-29,297,NA,Arson,NA,NA,NA,0.2,A,33.95,-81.7667,14,MISSING/NOT SPECIFIED,SC,NA,NA,NA,8680,Nov,334,0.18232155679395465
549000,590407,SFO-NJ0285-94_C052202,NONFED,ST-NASF,ST/C&L,USNJNJS,New Jersey Forest Fire Service,NJNJC,New Jersey Forest Fire Service Division C,NA,C052202,NA,NA,NA,NA,NA,NA,NA,1994,8676-06-27,142,NA,Arson,NA,NA,NA,0.25,A,39.49167,-74.68333,14,MISSING/NOT SPECIFIED,NJ,Atlantic,001,Atlantic,8676,Jun,179,0.22314355131420976
125056,126289,FS-351392,FED,FS-FIRESTAT,FS,USAROUF,Ouachita National Forest,0809,Ouachita National Forest,143,NA,NA,HICKORY NUT #2,NA,NA,NA,NA,NA,2000,8682-10-11,248,2200,Arson,2451792.5,249,0230,3,B,34.535,-93.42333333,5,USFS,AR,NA,NA,NA,8682,Oct,284,1.3862943611198906
418958,452925,SFO-GA00060503-39-115-0068-12,NONFED,ST-NASF,ST/C&L,USGAGAS,Georgia Forestry Commission,GA Rome,"GAS Coosa District, Rome Office",NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,8686-02-02,362,NA,Arson,NA,NA,NA,0.74,B,34.26352628,-85.33250592,14,MISSING/NOT SPECIFIED,GA,Floyd,115,Floyd,8686,Feb,33,0.5538851132264376
922719,1050080,SWRA_SC_63712,NONFED,ST-SCSCS,ST/C&L,USSCSCS,South Carolina Forestry Commission,SCSCS4,SCS Unit 4,NA,H294,NA,NA,NA,NA,NA,NA,NA,2001,8683-05-14,97,NA,Arson,NA,NA,NA,2,B,33.7422,-79.6847,14,MISSING/NOT SPECIFIED,SC,NA,NA,NA,8683,May,134,1.0986122886681098
785833,891179,SCHMIDT_29005540,NONFED,ST-MOMOS,ST/C&L,USMOMOS,Missouri Department of Conservation,MOMOS,Missouri Department of Conservation,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,8674-04-14,68,1634,Arson,NA,NA,NA,1,B,37.98126748,-92.25059365,14,MISSING/NOT SPECIFIED,MO,Pulaski,169,Pulaski,8674,Apr,104,0.6931471805599453
859038,981098,SWRA_AL_54637,NONFED,ST-ALALS,ST/C&L,USALALS,Alabama Forestry Commission,ALALS4,AFC District 4,NA,88.405,NA,NA,NA,NA,NA,NA,NA,2002,8684-03-21,44,NA,Arson,NA,NA,NA,0.2,A,31.8364,-88.4056,14,MISSING/NOT SPECIFIED,AL,NA,NA,NA,8684,Mar,81,0.18232155679395465
1644159,201771888,W-662042,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,233,NA,HX8S,HONEY BUNCH#4,NA,NA,NA,NA,NA,2013,8695-10-08,244,1721,Arson,2456536.5,244,1734,0.1,A,41.0242,-123.6486,8,PRIVATE,CA,NA,NA,NA,8695,Oct,281,0.09531017980432487
696238,774005,MSARCH_15751,NONFED,ST-MSMSS,ST/C&L,USMSMSS,Mississippi Forestry Commission,MSMSS,Mississippi Forestry Commission,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,8674-04-05,59,1430,Arson,2448680.5,59,1645,30,C,30.53658824,-89.39041095,14,MISSING/NOT SPECIFIED,MS,Hancock,045,Hancock,8674,Apr,95,3.4339872044851463
1346980,1826767,SFO-NY-NY3810-2001-0000103,NONFED,ST-NASF,ST/C&L,USNYNYX,Fire Department of New York,NY3810,Fire Department of New York,NA,NY3810-2001-0000103,NA,NA,NA,NA,NA,NA,NA,2001,8683-06-09,123,1959,Arson,2452032.5,123,1959,0.83,B,43.33824248,-76.46664611,14,MISSING/NOT SPECIFIED,NY,OSWEGO,075,Oswego,8683,Jun,160,0.6043159668533296
928080,1055486,SWRA_SC_69118,NONFED,ST-SCSCS,ST/C&L,USSCSCS,South Carolina Forestry Commission,SCSCS4,SCS Unit 4,NA,N978,NA,NA,NA,NA,NA,NA,NA,2002,8684-09-15,222,NA,Arson,NA,NA,NA,0.2,A,33.6333,-79.0167,14,MISSING/NOT SPECIFIED,SC,NA,NA,NA,8684,Sep,259,0.18232155679395465
1770771,300116094,SFO-2014AR-ARSUNI13840079,NONFED,ST-NASF,ST/C&L,USARARS,Arkansas Forestry Commission,ARARS,Arkansas Forestry Commission,NA,UNI13840079,NA,UNI13840079,NA,NA,NA,NA,NA,2014,8696-08-22,198,1140,Arson,2456855.5,198,1445,39,C,33.07531,-92.7374,8,PRIVATE,AR,UNION,139,Union,8696,Aug,235,3.6888794541139363
699754,777559,MSARCH_21738,NONFED,ST-MSMSS,ST/C&L,USMSMSS,Mississippi Forestry Commission,MSMSS,Mississippi Forestry Commission,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,8675-04-17,70,0010,Arson,2449057.5,70,0135,1,B,31.54500119,-90.5676951,14,MISSING/NOT SPECIFIED,MS,Lincoln,085,Lincoln,8675,Apr,107,0.6931471805599453
192316,194802,W-465961,FED,DOI-WFMI,BIA,USCASCA,Southern California Agency,CASCA,Southern California Agency,14,NA,NA,COTTONWOOD,NA,NA,NA,NA,NA,1998,8680-07-28,173,2000,Arson,2450986.5,173,2035,0.5,B,33.9508,-116.8422,2,BIA,CA,NA,NA,NA,8680,Jul,210,0.4054651081081644
1018657,1148190,TFS_NC_197169,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS108,NCS Region 1 District 8,NA,96-065,NA,OLD OAK FIRE # 2,NA,NA,NA,NA,NA,1996,8678-06-29,144,NA,Arson,NA,NA,NA,5,B,34.2983,-77.8317,14,MISSING/NOT SPECIFIED,NC,NA,NA,NA,8678,Jun,180,1.791759469228055
447120,481337,SFO-GA0261-36-315-0055-04,NONFED,ST-NASF,ST/C&L,USGAGAS,Georgia Forestry Commission,GA McRae,"GAS Ogeechee District, McRae Office",NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,8689-05-18,102,NA,Arson,NA,NA,NA,1.47,B,32.03006294,-83.45348146,14,MISSING/NOT SPECIFIED,GA,Wilcox,315,Wilcox,8689,May,138,0.9042181506398859
998069,1127277,TFS_NC_176148,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS108,NCS Region 1 District 8,NA,92-071,NA,NA,NA,NA,NA,NA,NA,1992,8674-04-20,74,NA,Arson,NA,NA,NA,3,B,34.7083,-77.6783,14,MISSING/NOT SPECIFIED,NC,NA,NA,NA,8674,Apr,110,1.3862943611198906
557714,599580,SFO-NJ0411-08_B031202,NONFED,ST-NASF,ST/C&L,USNJNJS,New Jersey Forest Fire Service,NJNJB,New Jersey Forest Fire Service Division B,NA,B031202,NA,NA,NA,NA,NA,NA,NA,2008,8690-04-18,72,NA,Arson,NA,NA,NA,0.75,B,39.9872,-74.2193,14,MISSING/NOT SPECIFIED,NJ,Ocean,029,Ocean,8690,Apr,108,0.5596157879354227
1157071,1408040,ALS-BWT-20040318-001,NONFED,ST-ALALS,ST/C&L,USALALS,Alabama Forestry Commission,ALBWT,AFC Brewton,001,BWT-20040318-001,NA,CONECUH 2,04-ALS-021,Conecuh 2,NA,NA,NA,2004,8686-04-24,78,0600,Arson,2453082.5,78,1530,167,D,31.282629,-87.320087,14,MISSING/NOT SPECIFIED,AL,Conecuh,035,Conecuh,8686,Apr,114,5.123963979403259
932369,1059804,SWRA_TN_11767,NONFED,ST-TNTNS,ST/C&L,USTNTNS,Tennessee Division of Forestry,TNTNS2,TNS Unit 2,NA,0449,NA,NA,NA,NA,NA,NA,NA,2001,8683-12-25,322,NA,Arson,NA,NA,NA,25,C,36.4417,-83.415,14,MISSING/NOT SPECIFIED,TN,NA,NA,NA,8683,Dec,359,3.258096538021482
330632,338125,W-555180,FED,DOI-WFMI,BLM,USMTBUD,Butte Field Office,MTBUD,Butte Field Office,NA,NA,D21G,JOHN G MINE RD,NA,NA,NA,NA,NA,2006,8688-04-21,75,1420,Arson,2453810.5,75,1708,0.3,B,46.6888,-112.0631,1,BLM,MT,Lewis and Clark,049,Lewis and Clark,8688,Apr,112,0.26236426446749106
813863,920914,STATE_MS_60944,NONFED,ST-MSMSS,ST/C&L,USMSMSS,Mississippi Forestry Commission,MS Southeast,MSS Southeast District,NA,1-4183,NA,NA,NA,NA,NA,NA,NA,2005,8687-11-22,289,NA,Arson,NA,NA,NA,2,B,30.9542,-89.195,14,MISSING/NOT SPECIFIED,MS,NA,NA,NA,8687,Nov,326,1.0986122886681098
389514,412624,SFO-AR051440,NONFED,ST-NASF,ST/C&L,USARARS,Arkansas Forestry Commission,ARARS5,ARS District 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,8687-09-14,220,NA,Arson,NA,NA,NA,6,B,34.22082999,-93.00000001,14,MISSING/NOT SPECIFIED,AR,Hot Spring,059,Hot Spring,8687,Sep,257,1.9459101490553132
759074,860687,ODF-60086,NONFED,ST-ORORS,ST/C&L,USOR712S,Grants Pass Unit,ORODF-712,Grants Pass Unit,244,60086,NA,CHENEY CREEK,NA,NA,NA,NA,NA,2001,8683-06-16,130,NA,Arson,2452040.5,131,NA,4,B,42.33969,-123.48701,8,PRIVATE,OR,33,033,Josephine,8683,Jun,167,1.6094379124341003
1799211,300211628,W-681976,FED,DOI-WFMI,BIA,USMNRLA,Red Lake Agency,MNRLA,Red Lake Agency,431,NA,NA,RL 431,NA,NA,NA,NA,NA,2015,8697-06-14,129,1850,Arson,2457151.5,129,1915,0.5,B,48.0217,-94.8997,2,BIA,MN,NA,NA,NA,8697,Jun,165,0.4054651081081644
123855,125080,FS-350165,FED,FS-FIRESTAT,FS,USAROUF,Ouachita National Forest,0809,Ouachita National Forest,116,NA,NA,BRILEY #2,NA,NA,NA,NA,NA,2000,8682-10-04,241,2205,Arson,2451786.5,243,1630,1,B,34.67638889,-93.78055556,5,USFS,AR,NA,NA,NA,8682,Oct,277,0.6931471805599453
1409637,19105667,SFO-GA-STE-5-8/27/1997-800,NONFED,ST-GAGAS,ST/C&L,USGAGAS,Georgia Forestry Commission,GAGAS,Georgia Forestry Commission,NA,5,NA,NA,NA,NA,NA,NA,NA,1997,8679-10-03,239,0800,Arson,2450687.5,239,0945,0.22,A,34.5153,-83.2315,8,PRIVATE,GA,Stephens            ,257,Stephens,8679,Oct,276,0.1988508587451652
1024276,1153866,TFS_NC_202859,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS206,NCS Region 2 District 6,NA,97-026,NA,HALL RD.,NA,NA,NA,NA,NA,1997,8679-08-20,195,NA,Arson,NA,NA,NA,1,B,34.895,-78.9017,14,MISSING/NOT SPECIFIED,NC,NA,NA,NA,8679,Aug,232,0.6931471805599453
1281519,1750445,SFO-TN-2009-6766,NONFED,ST-NASF,ST/C&L,USTNTNS,Tennessee Division of Forestry,TDA,Tennessee Department of Agriculture,NA,6766,NA,FIFTY SEVEN,NA,NA,NA,NA,NA,2009,8691-08-16,191,1020,Arson,2455022.5,191,1715,0.2,A,36.256667,-88.66,14,MISSING/NOT SPECIFIED,TN,WEAKLEY,183,Weakley,8691,Aug,228,0.18232155679395465
284060,289500,W-526154,FED,DOI-WFMI,BIA,USCATIA,Tule River Agency,CATIA,Tule River Agency,45,NA,CXH8,RIVER,NA,NA,NA,NA,NA,2006,8688-08-02,178,2330,Arson,2453913.5,178,2345,0.3,B,36.0253,-118.795,2,BIA,CA,NA,NA,NA,8688,Aug,215,0.26236426446749106
59239,59806,FS-284345,FED,FS-FIRESTAT,FS,USAROZF,Ozark & St. Francis National Forests,0810,Ozark-St. Francis National Forest,7,NA,NA,NA,NA,NA,NA,NA,NA,1993,8675-03-06,28,1345,Arson,2449015.5,28,1500,12,C,36.13166667,-94.41,5,USFS,AR,NA,NA,NA,8675,Mar,65,2.5649493574615367
135556,136898,FS-362877,FED,FS-FIRESTAT,FS,USAZTNF,Tonto National Forest,0312,Tonto National Forest,38,NA,8695,TANKS,NA,NA,NA,NA,NA,2001,8683-07-03,147,1705,Arson,2452056.5,147,1830,2,B,33.86666667,-111.36666667,5,USFS,AZ,NA,NA,NA,8683,Jul,184,1.0986122886681098
812411,919440,STATE_MS_59470,NONFED,ST-MSMSS,ST/C&L,USMSMSS,Mississippi Forestry Commission,MS East Central,MSS East Central District,NA,1-2403,NA,NA,NA,NA,NA,NA,NA,2005,8687-10-03,239,NA,Arson,NA,NA,NA,5,B,32.5953,-89.3506,14,MISSING/NOT SPECIFIED,MS,NA,NA,NA,8687,Oct,276,1.791759469228055
477182,513784,SFO-LA01420606-1110,NONFED,ST-NASF,ST/C&L,USLALAS,Louisiana Office of Forestry,LALA7,LAS District 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,8688-05-01,85,NA,Arson,NA,NA,NA,4,B,30.61807242,-93.43785616,14,MISSING/NOT SPECIFIED,LA,Beauregard,011,Beauregard,8688,May,122,1.6094379124341003
1126575,1373022,CDF_2008_55_2221_011220      ,NONFED,ST-CACDF,ST/C&L,USCABDU,San Bernardino Unit,CABDU,CDF - San Bernardino Unit,NA,011220      ,NA,VINE ST  HIGHLAND_CITY 11,NA,NA,NA,NA,NA,2008,8690-11-15,283,NA,Arson,NA,NA,NA,1,B,34.12694444,-117.22388888,14,MISSING/NOT SPECIFIED,CA,NA,NA,NA,8690,Nov,319,0.6931471805599453
1577211,201506166,W-635107,FED,DOI-WFMI,BIA,USNEWIA,Winnebago Agency,NEWIA,Winnebago Agency,35,NA,GSE4,BIA #415,NA,NA,NA,NA,NA,2012,8694-05-13,97,1700,Arson,2456023.5,97,1900,120,D,42.1192,-96.3264,2,BIA,NE,NA,NA,NA,8694,May,133,4.795790545596741
1616545,201651162,SFO-MS-2012-MS13520121021001,NONFED,ST-NASF,ST/C&L,USMSMSS,Mississippi Forestry Commission,MSMFC,Mississippi Forestry Commission,NA,MS13520121021001,NA,NA,NA,NA,NA,NA,NA,2012,8694-11-27,295,1525,Arson,2456221.5,295,1640,2,B,34.08777765,-90.03962522,14,MISSING/NOT SPECIFIED,MS,TALLAHATCHIE,135,Tallahatchie,8694,Nov,331,1.0986122886681098
1732733,300019043,W-676031,FED,DOI-WFMI,BIA,USNDSRA,Standing Rock Agency,NDSRA,Standing Rock Agency,188,NA,JG8V,X-MAS,NA,NA,NA,NA,NA,2014,8697-01-25,354,1712,Arson,2457011.5,354,1850,0.9,B,46.105,-100.6375,2,BIA,ND,NA,NA,NA,8697,Jan,25,0.6418538861723948
1460700,20027063,FS-1493869,FED,FS-FIRESTAT,FS,USAZTNF,Tonto National Forest,0312,Tonto National Forest,11,2,EKW0,AIRPORT,NA,NA,NA,NA,NA,2011,8693-05-19,103,1125,Arson,2455664.5,103,1127,0.01,A,34.15472222,-110.9375,5,USFS,AZ,NA,NA,NA,8693,May,139,0.009950330853168083
1617277,201651913,SFO-NC-2012-NCST-011-20120067,NONFED,ST-NASF,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS,North Carolina State Division of Forest Resouces,NA,NCST-011-20120067,NA,HIGH ROLLER FIRE,NA,NA,NA,NA,NA,2012,8694-12-18,316,1130,Arson,2456243.5,317,0100,0.5,B,35.62863333,-82.53083333,8,PRIVATE,NC,Buncombe,021,Buncombe,8694,Dec,352,0.4054651081081644
708499,786424,MSARCH_32336,NONFED,ST-MSMSS,ST/C&L,USMSMSS,Mississippi Forestry Commission,MSMSS,Mississippi Forestry Commission,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,8678-03-19,42,1150,Arson,2450124.5,42,1336,65,C,31.32572519,-88.96161327,14,MISSING/NOT SPECIFIED,MS,Perry,111,Perry,8678,Mar,78,4.189654742026425
552514,594101,SFO-NJ0285-97_B071504,NONFED,ST-NASF,ST/C&L,USNJNJS,New Jersey Forest Fire Service,NJNJB,New Jersey Forest Fire Service Division B,NA,B071504,NA,NA,NA,NA,NA,NA,NA,1997,8679-08-21,196,NA,Arson,NA,NA,NA,0.25,A,40.07083,-74.25,14,MISSING/NOT SPECIFIED,NJ,Ocean,029,Ocean,8679,Aug,233,0.22314355131420976
1687229,201851643,SFO-2013MSMFCMS10920130509008,NONFED,ST-NASF,ST/C&L,USMSMSS,Mississippi Forestry Commission,MSMFC,Mississippi Forestry Commission,NA,MS10920130509008,NA,NA,NA,NA,NA,NA,NA,2013,8695-06-15,129,1927,Arson,2456421.5,129,2028,1,B,30.82856601,-89.6006365,14,MISSING/NOT SPECIFIED,MS,PEARL RIVER,109,Pearl River,8695,Jun,166,0.6931471805599453
681615,758906,CO_9193,NONFED,ST-COCOS,ST/C&L,USCOBLDS,Colorado State Forest Service-Boulder District,COBLDS,CSFS-Boulder District,NA,76042,NA,NA,NA,NA,NA,NA,NA,1993,8675-08-11,186,NA,Arson,NA,NA,NA,0.1,A,40.05197,-105.38655,14,MISSING/NOT SPECIFIED,CO,NA,NA,NA,8675,Aug,223,0.09531017980432487
772337,874728,ODF-74212,NONFED,ST-ORORS,ST/C&L,USOR772S,Sweet Home Unit - ODF,ORODF-772,Sweet Home Unit,085,74212,NA,AMES CRK 1600 #2,NA,NA,NA,NA,NA,2006,8688-06-17,132,NA,Arson,2453867.5,132,NA,0.01,A,44.32367,-122.69317,8,PRIVATE,OR,22,043,Linn,8688,Jun,169,0.009950330853168083
1213846,1471031,W-614955,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,136,NA,FX1K,COMMUNITY # 5,NA,NA,NA,NA,NA,2010,8692-11-24,292,1552,Arson,2455488.5,292,1559,0.1,A,41.0614,-123.6758,9,TRIBAL,CA,NA,NA,NA,8692,Nov,329,0.09531017980432487
1607282,201628404,SFO-NJ-2012-B021802,NONFED,ST-NASF,ST/C&L,USNJNJS,New Jersey Forest Fire Service,NJDEP,New Jersey Department of Environmental Protection,NA,B021802,NA,NA,NA,NA,NA,NA,NA,2012,8694-03-26,49,1650,Arson,2455981.5,55,0900,0.5,B,40.463863,-74.3618824,8,PRIVATE,NJ,Middlesex,023,Middlesex,8694,Mar,85,0.4054651081081644
803500,909884,STATE_KY_15548,NONFED,ST-KYKYS,ST/C&L,USKYKYS,Kentucky Division of Forestry,KYKYS3,KYS Eastern Kentucky District,NA,00-904,NA,NA,NA,NA,NA,NA,NA,2000,8682-11-18,286,NA,Arson,NA,NA,NA,126,D,36.6681,-84.0428,14,MISSING/NOT SPECIFIED,KY,NA,NA,NA,8682,Nov,322,4.844187086458591
249771,254676,W-539153,FED,DOI-WFMI,BIA,USOKOSA,Osage Agency,OKOSA,Osage Agency,7,NA,C9ZY,ACOTT,NA,NA,NA,NA,NA,2007,8689-04-09,63,1900,Arson,2454163.5,63,1910,0.3,B,36.3722,-96.445,8,PRIVATE,OK,NA,NA,NA,8689,Apr,99,0.26236426446749106
